"Setup","Samples","MeanDistance","Sensitivity","Specificty","Precision","HaplogrepFilter","HetFilter","Group","TP","TN","FP","FN"
"43.0","100000.0","4.54887","0.83592","0.72166","0.750201927736794","0.7","0","8","41796","36083","13917","8204"
"44.0","100000.0","4.54887","0.83592","0.72196","0.7504039642356997","0.7","1","8","41796","36098","13902","8204"
"45.0","100000.0","4.54887","0.82682","0.86284","0.8577148903504223","0.7","2","8","41341","43142","6858","8659"
"46.0","100000.0","4.54887","0.79086","0.90972","0.8975418208230247","0.7","3","8","39543","45486","4514","10457"
"47.0","100000.0","4.54887","0.70238","0.9562","0.9413010265619556","0.7","4","8","35119","47810","2190","14881"
"48.0","100000.0","4.54887","0.56404","0.9811","0.9675781384018939","0.7","5","8","28202","49055","945","21798"
"49.0","100000.0","4.54887","0.40716","0.99358","0.9844770056579139","0.7","6","8","20358","49679","321","29642"
"50.0","100000.0","4.54887","0.27788","0.99904","0.9965571653995122","0.7","7","8","13894","49952","48","36106"
"51.0","100000.0","4.54887","0.179","1.0","1.0","0.7","8","8","8950","50000","0","41050"
"52.0","100000.0","4.54887","0.1139","1.0","1.0","0.7","9","8","5695","50000","0","44305"
"53.0","100000.0","4.54887","0.06512","1.0","1.0","0.7","10","8","3256","50000","0","46744"
"54.0","100000.0","4.54887","0.03504","1.0","1.0","0.7","11","8","1752","50000","0","48248"
"55.0","100000.0","4.54887","0.01584","1.0","1.0","0.7","12","8","792","50000","0","49208"
"56.0","100000.0","4.54887","0.0065","1.0","1.0","0.7","13","8","325","50000","0","49675"
"57.0","100000.0","4.54887","0.00204","1.0","1.0","0.7","14","8","102","50000","0","49898"
"58.0","100000.0","4.54887","3.2E-4","1.0","1.0","0.7","15","8","16","50000","0","49984"
"59.0","100000.0","4.54887","0.0","1.0","0.0","0.7","16","8","0","50000","0","50000"
"60.0","100000.0","4.54887","0.0","1.0","0.0","0.7","17","8","0","50000","0","50000"
"61.0","100000.0","4.54887","0.0","1.0","0.0","0.7","18","8","0","50000","0","50000"
"62.0","100000.0","4.54887","0.0","1.0","0.0","0.7","19","8","0","50000","0","50000"
"63.0","100000.0","4.54887","0.0","1.0","0.0","0.7","20","8","0","50000","0","50000"
"64.0","100000.0","4.54887","0.54128","0.83658","0.7680999006669504","0.7999999999999999","0","8","27064","41829","8171","22936"
"65.0","100000.0","4.54887","0.54128","0.83676","0.7682961448929768","0.7999999999999999","1","8","27064","41838","8162","22936"
"66.0","100000.0","4.54887","0.53458","0.92742","0.8804598458396469","0.7999999999999999","2","8","26729","46371","3629","23271"
