"Setup","Samples","MeanDistance","Sensitivity","Specificty","Precision","HaplogrepFilter","HetFilter","Group","TP","TN","FP","FN"
"23.0","500000.0","8.73275","0.990864","0.864924","0.8800326838019787","0.6","1","8","247716","216231","33769","2284"
"24.0","500000.0","8.73275","0.990092","0.946092","0.9483639846743295","0.6","2","8","247523","236523","13477","2477"
"25.0","500000.0","8.73275","0.98784","0.962612","0.9635320143421756","0.6","3","8","246960","240653","9347","3040"
"26.0","500000.0","8.73275","0.982936","0.981244","0.9812756815468228","0.6","4","8","245734","245311","4689","4266"
"27.0","500000.0","8.73275","0.97406","0.9915","0.9913491288063834","0.6","5","8","243515","247875","2125","6485"
"28.0","500000.0","8.73275","0.962344","0.99718","0.9970782167590171","0.6","6","8","240586","249295","705","9414"
"29.0","500000.0","8.73275","0.948252","0.999604","0.9995825638171376","0.6","7","8","237063","249901","99","12937"
"30.0","500000.0","8.73275","0.93418","1.0","1.0","0.6","8","8","233545","250000","0","16455"
"31.0","500000.0","8.73275","0.916672","1.0","1.0","0.6","9","8","229168","250000","0","20832"
"32.0","500000.0","8.73275","0.897404","1.0","1.0","0.6","10","8","224351","250000","0","25649"
"33.0","500000.0","8.73275","0.871264","1.0","1.0","0.6","11","8","217816","250000","0","32184"
"34.0","500000.0","8.73275","0.839604","1.0","1.0","0.6","12","8","209901","250000","0","40099"
"35.0","500000.0","8.73275","0.79696","1.0","1.0","0.6","13","8","199240","250000","0","50760"
"36.0","500000.0","8.73275","0.74484","1.0","1.0","0.6","14","8","186210","250000","0","63790"
"37.0","500000.0","8.73275","0.680292","1.0","1.0","0.6","15","8","170073","250000","0","79927"
"38.0","500000.0","8.73275","0.603548","1.0","1.0","0.6","16","8","150887","250000","0","99113"
"39.0","500000.0","8.73275","0.520776","1.0","1.0","0.6","17","8","130194","250000","0","119806"
"40.0","500000.0","8.73275","0.42882","1.0","1.0","0.6","18","8","107205","250000","0","142795"
"41.0","500000.0","8.73275","0.3434","1.0","1.0","0.6","19","8","85850","250000","0","164150"
"42.0","500000.0","8.73275","0.268264","1.0","1.0","0.6","20","8","67066","250000","0","182934"
"43.0","500000.0","8.73275","0.96818","0.875124","0.8857551671643539","0.7","0","8","242045","218781","31219","7955"
"44.0","500000.0","8.73275","0.96818","0.875552","0.8861021317410867","0.7","1","8","242045","218888","31112","7955"
"45.0","500000.0","8.73275","0.967456","0.9538","0.95442240760179","0.7","2","8","241864","238450","11550","8136"
"46.0","500000.0","8.73275","0.965316","0.969436","0.9693095553681167","0.7","3","8","241329","242359","7641","8671"
"47.0","500000.0","8.73275","0.960628","0.986164","0.9858014251937476","0.7","4","8","240157","246541","3459","9843"
"48.0","500000.0","8.73275","0.952364","0.994456","0.9942123878284762","0.7","5","8","238091","248614","1386","11909"
"49.0","500000.0","8.73275","0.942304","0.998284","0.9981822419016546","0.7","6","8","235576","249571","429","14424"
"50.0","500000.0","8.73275","0.93038","0.999768","0.9997507016887811","0.7","7","8","232595","249942","58","17405"
"51.0","500000.0","8.73275","0.917228","1.0","1.0","0.7","8","8","229307","250000","0","20693"
"52.0","500000.0","8.73275","0.900504","1.0","1.0","0.7","9","8","225126","250000","0","24874"
"53.0","500000.0","8.73275","0.881908","1.0","1.0","0.7","10","8","220477","250000","0","29523"
"54.0","500000.0","8.73275","0.856352","1.0","1.0","0.7","11","8","214088","250000","0","35912"
"55.0","500000.0","8.73275","0.825352","1.0","1.0","0.7","12","8","206338","250000","0","43662"
"56.0","500000.0","8.73275","0.783356","1.0","1.0","0.7","13","8","195839","250000","0","54161"
"57.0","500000.0","8.73275","0.732056","1.0","1.0","0.7","14","8","183014","250000","0","66986"
"58.0","500000.0","8.73275","0.668408","1.0","1.0","0.7","15","8","167102","250000","0","82898"
"59.0","500000.0","8.73275","0.593372","1.0","1.0","0.7","16","8","148343","250000","0","101657"
"60.0","500000.0","8.73275","0.512176","1.0","1.0","0.7","17","8","128044","250000","0","121956"
"61.0","500000.0","8.73275","0.42252","1.0","1.0","0.7","18","8","105630","250000","0","144370"
"62.0","500000.0","8.73275","0.339264","1.0","1.0","0.7","19","8","84816","250000","0","165184"
"63.0","500000.0","8.73275","0.265484","1.0","1.0","0.7","20","8","66371","250000","0","183629"
"64.0","500000.0","8.73275","0.900376","0.899792","0.8998504873154078","0.7999999999999999","0","8","225094","224948","25052","24906"
"65.0","500000.0","8.73275","0.900376","0.900116","0.9001419630895967","0.7999999999999999","1","8","225094","225029","24971","24906"
"66.0","500000.0","8.73275","0.899776","0.968484","0.9661588416951934","0.7999999999999999","2","8","224944","242121","7879","25056"
"67.0","500000.0","8.73275","0.898084","0.980072","0.9782922227596154","0.7999999999999999","3","8","224521","245018","4982","25479"
"68.0","500000.0","8.73275","0.894544","0.991708","0.9908156077072691","0.7999999999999999","4","8","223636","247927","2073","26364"
"69.0","500000.0","8.73275","0.888416","0.997004","0.9966390400847195","0.7999999999999999","5","8","222104","249251","749","27896"
"70.0","500000.0","8.73275","0.880808","0.999116","0.9989973823058392","0.7999999999999999","6","8","220202","249779","221","29798"
"71.0","500000.0","8.73275","0.871344","0.999876","0.9998577113560108","0.7999999999999999","7","8","217836","249969","31","32164"
"72.0","500000.0","8.73275","0.86076","1.0","1.0","0.7999999999999999","8","8","215190","250000","0","34810"
"73.0","500000.0","8.73275","0.846136","1.0","1.0","0.7999999999999999","9","8","211534","250000","0","38466"
"74.0","500000.0","8.73275","0.829416","1.0","1.0","0.7999999999999999","10","8","207354","250000","0","42646"
"75.0","500000.0","8.73275","0.805788","1.0","1.0","0.7999999999999999","11","8","201447","250000","0","48553"
"76.0","500000.0","8.73275","0.777032","1.0","1.0","0.7999999999999999","12","8","194258","250000","0","55742"
"77.0","500000.0","8.73275","0.73714","1.0","1.0","0.7999999999999999","13","8","184285","250000","0","65715"
"78.0","500000.0","8.73275","0.688728","1.0","1.0","0.7999999999999999","14","8","172182","250000","0","77818"
"79.0","500000.0","8.73275","0.627776","1.0","1.0","0.7999999999999999","15","8","156944","250000","0","93056"
"80.0","500000.0","8.73275","0.5582","1.0","1.0","0.7999999999999999","16","8","139550","250000","0","110450"
"81.0","500000.0","8.73275","0.482144","1.0","1.0","0.7999999999999999","17","8","120536","250000","0","129464"
"82.0","500000.0","8.73275","0.399312","1.0","1.0","0.7999999999999999","18","8","99828","250000","0","150172"
"83.0","500000.0","8.73275","0.321976","1.0","1.0","0.7999999999999999","19","8","80494","250000","0","169506"
"84.0","500000.0","8.73275","0.25356","1.0","1.0","0.7999999999999999","20","8","63390","250000","0","186610"
"85.0","500000.0","8.73275","0.592384","0.94652","0.9171961899099501","0.8999999999999999","0","8","148096","236630","13370","101904"
"86.0","500000.0","8.73275","0.592384","0.946612","0.9173268583958425","0.8999999999999999","1","8","148096","236653","13347","101904"
"87.0","500000.0","8.73275","0.592112","0.9873","0.9790017393834778","0.8999999999999999","2","8","148028","246825","3175","101972"
